generation,node_id,strategy_int,strategy_bits,payoff
4,98,0,000,212.0
4,99,0,000,212.0
5,0,4,100,221.0
5,1,5,101,476.0
5,2,5,101,375.0
5,3,1,001,500.0
5,4,5,101,575.0
5,5,5,101,450.0
5,6,5,101,750.0
5,7,5,101,600.0
5,8,5,101,612.0
5,9,5,101,351.0
5,10,4,100,217.0
5,11,5,101,453.0
5,12,0,000,162.0
5,13,4,100,206.0
5,14,4,100,199.0
5,15,0,000,208.0
5,16,0,000,204.0
5,17,0,000,200.0
5,18,1,001,200.0
5,19,0,000,200.0
5,20,0,000,150.0
5,21,0,000,200.0
5,22,0,000,200.0
5,23,0,000,204.0
5,24,0,000,204.0
5,25,4,100,252.0
5,26,0,000,204.0
5,27,0,000,204.0
5,28,1,001,275.0
5,29,5,101,550.0
5,30,0,000,200.0
5,31,0,000,154.0
5,32,0,000,208.0
5,33,5,101,398.0
5,34,5,101,499.0
5,35,5,101,750.0
5,36,5,101,600.0
5,37,5,101,600.0
5,38,5,101,600.0
5,39,5,101,575.0
5,40,5,101,474.0
5,41,1,001,403.0
5,42,0,000,208.0
5,43,4,100,200.0
5,44,0,000,208.0
5,45,0,000,212.0
5,46,4,100,199.0
5,47,4,100,202.0
5,48,0,000,266.0
5,49,4,100,254.0
5,50,0,000,162.0
5,51,4,100,453.0
5,52,4,100,205.0
5,53,6,110,120.0
5,54,0,000,546.0
5,55,2,010,3.0
5,56,0,000,396.0
5,57,0,000,396.0
5,58,1,001,350.0
5,59,1,001,278.0
5,60,5,101,451.0
5,61,4,100,221.0
5,62,5,101,501.0
5,63,5,101,501.0
5,64,5,101,600.0
5,65,5,101,349.0
5,66,7,111,453.0
5,67,0,000,354.0
5,68,4,100,538.0
5,69,2,010,371.0
5,70,7,111,453.0
5,71,5,101,559.0
5,72,5,101,750.0
5,73,5,101,501.0
5,74,5,101,501.0
5,75,4,100,353.0
5,76,5,101,361.0
5,77,2,010,127.0
5,78,4,100,398.0
5,79,0,000,408.0
5,80,4,100,261.0
5,81,4,100,265.0
5,82,5,101,363.0
5,83,5,101,612.0
5,84,6,110,484.0
5,85,4,100,726.0
5,86,2,010,112.0
5,87,2,010,113.0
5,88,4,100,580.0
5,89,0,000,400.0
5,90,0,000,208.0
5,91,0,000,204.0
5,92,5,101,321.0
5,93,0,000,258.0
5,94,0,000,208.0
5,95,4,100,206.0
5,96,5,101,326.0
5,97,5,101,575.0
5,98,1,001,428.0
5,99,5,101,476.0
6,0,5,101,550.0
6,1,1,001,425.0
6,2,5,101,476.0
6,3,1,001,350.0
6,4,5,101,575.0
6,5,5,101,450.0
6,6,5,101,750.0
6,7,5,101,600.0
6,8,5,101,651.0
6,9,5,101,450.0
6,10,5,101,501.0
6,11,5,101,626.0
6,12,4,100,157.0
6,13,4,100,206.0
6,14,0,000,208.0
6,15,0,000,204.0
6,16,0,000,200.0
6,17,0,000,200.0
6,18,0,000,204.0
6,19,0,000,200.0
6,20,0,000,150.0
6,21,0,000,204.0
6,22,0,000,208.0
6,23,4,100,203.0
6,24,4,100,207.0
6,25,1,001,331.0
6,26,1,001,203.0
6,27,1,001,200.0
6,28,0,000,204.0
6,29,5,101,499.0
6,30,1,001,200.0
6,31,1,001,225.0
6,32,0,000,208.0
6,33,5,101,474.0
6,34,5,101,499.0
6,35,5,101,725.0
6,36,5,101,600.0
6,37,5,101,600.0
6,38,5,101,600.0
6,39,5,101,600.0
6,40,5,101,575.0
6,41,5,101,599.0
6,42,1,001,350.0
6,43,1,001,278.0
6,44,0,000,204.0
6,45,4,100,200.0
6,46,0,000,208.0
6,47,0,000,208.0
6,48,4,100,255.0
6,49,0,000,262.0
6,50,4,100,153.0
6,51,4,100,261.0
6,52,4,100,397.0
6,53,4,100,157.0
6,54,0,000,154.0
6,55,0,000,150.0
6,56,0,000,200.0
6,57,1,001,275.0
6,58,5,101,550.0
6,59,1,001,425.0
6,60,5,101,575.0
6,61,5,101,575.0
6,62,5,101,600.0
6,63,5,101,600.0
6,64,5,101,600.0
6,65,5,101,351.0
6,66,5,101,561.0
6,67,4,100,360.0
6,68,7,111,303.0
6,69,5,101,501.0
6,70,5,101,750.0
6,71,5,101,600.0
6,72,5,101,750.0
6,73,5,101,501.0
6,74,5,101,600.0
6,75,5,101,349.0
6,76,5,101,499.0
6,77,0,000,212.0
6,78,5,101,359.0
6,79,0,000,404.0
6,80,6,110,124.0
6,81,0,000,462.0
6,82,4,100,593.0
6,83,5,101,511.0
6,84,6,110,336.0
6,85,6,110,108.0
6,86,4,100,345.0
6,87,4,100,394.0
6,88,0,000,212.0
6,89,0,000,212.0
6,90,5,101,198.0
6,91,4,100,203.0
6,92,0,000,262.0
6,93,0,000,258.0
6,94,4,100,199.0
6,95,0,000,400.0
6,96,3,011,295.0
6,97,5,101,574.0
6,98,1,001,525.0
6,99,5,101,550.0
7,0,5,101,600.0
7,1,5,101,600.0
7,2,5,101,600.0
7,3,5,101,575.0
7,4,5,101,501.0
7,5,5,101,351.0
7,6,4,100,280.0
7,7,5,101,501.0
7,8,5,101,626.0
7,9,5,101,450.0
7,10,5,101,600.0
7,11,5,101,651.0
7,12,5,101,250.0
7,13,4,100,210.0
7,14,0,000,208.0
7,15,0,000,204.0
7,16,0,000,204.0
7,17,0,000,204.0
7,18,5,101,297.0
7,19,0,000,204.0
7,20,0,000,150.0
7,21,0,000,200.0
7,22,0,000,200.0
7,23,1,001,275.0
7,24,1,001,275.0
7,25,5,101,574.0
7,26,1,001,350.0
7,27,0,000,208.0
7,28,5,101,449.0
7,29,5,101,575.0
7,30,1,001,425.0
7,31,5,101,326.0
7,32,5,101,476.0
7,33,4,100,224.0
7,34,5,101,501.0
7,35,5,101,651.0
7,36,5,101,600.0
7,37,5,101,600.0
7,38,5,101,600.0
7,39,5,101,600.0
7,40,7,111,600.0
7,41,5,101,725.0
7,42,5,101,550.0
7,43,1,001,350.0
7,44,1,001,275.0
7,45,1,001,200.0
7,46,0,000,204.0
7,47,0,000,204.0
7,48,5,101,346.0
7,49,0,000,454.0
7,50,4,100,147.0
7,51,0,000,258.0
7,52,0,000,208.0
7,53,1,001,225.0
7,54,0,000,150.0
7,55,0,000,154.0
7,56,1,001,275.0
7,57,5,101,449.0
7,58,1,001,500.0
7,59,5,101,575.0
7,60,5,101,575.0
7,61,5,101,600.0
7,62,5,101,600.0
7,63,5,101,600.0
7,64,5,101,600.0
7,65,5,101,351.0
7,66,5,101,600.0
7,67,4,100,168.0
7,68,5,101,351.0
7,69,5,101,501.0
7,70,5,101,750.0
7,71,5,101,501.0
7,72,5,101,651.0
7,73,4,100,217.0
7,74,5,101,501.0
7,75,5,101,450.0
7,76,5,101,499.0
7,77,5,101,398.0
7,78,0,000,212.0
7,79,0,000,208.0
7,80,4,100,252.0
7,81,0,000,262.0
7,82,5,101,400.0
7,83,5,101,550.0
7,84,5,101,501.0
7,85,4,100,160.0
7,86,4,100,156.0
7,87,4,100,208.0
7,88,4,100,205.0
7,89,4,100,202.0
7,90,0,000,208.0
7,91,0,000,204.0
7,92,1,001,325.0
7,93,0,000,446.0
7,94,0,000,400.0
7,95,2,010,247.0
7,96,3,011,305.0
7,97,7,111,597.0
7,98,5,101,599.0
7,99,5,101,600.0
8,0,5,101,600.0
8,1,5,101,600.0
8,2,5,101,575.0
8,3,5,101,600.0
8,4,5,101,600.0
8,5,5,101,450.0
8,6,5,101,750.0
8,7,5,101,600.0
8,8,5,101,626.0
8,9,5,101,351.0
8,10,5,101,501.0
8,11,4,100,280.0
8,12,5,101,349.0
8,13,5,101,299.0
8,14,0,000,208.0
8,15,0,000,204.0
8,16,1,001,275.0
8,17,0,000,208.0
8,18,5,101,474.0
8,19,5,101,297.0
8,20,0,000,154.0
8,21,0,000,208.0
8,22,1,001,350.0
8,23,5,101,474.0
8,24,5,101,575.0
8,25,5,101,651.0
8,26,5,101,600.0
8,27,5,101,499.0
8,28,5,101,575.0
8,29,1,001,500.0
8,30,5,101,575.0
8,31,1,001,375.0
8,32,5,101,575.0
8,33,5,101,575.0
8,34,5,101,600.0
8,35,5,101,750.0
8,36,5,101,600.0
8,37,5,101,600.0
8,38,5,101,600.0
8,39,5,101,575.0
8,40,7,111,600.0
8,41,5,101,651.0
8,42,5,101,476.0
8,43,4,100,214.0
8,44,1,001,353.0
8,45,0,000,208.0
8,46,5,101,348.0
8,47,0,000,204.0
8,48,1,001,400.0
8,49,0,000,254.0
8,50,0,000,154.0
8,51,4,100,256.0
8,52,0,000,212.0
8,53,1,001,303.0
8,54,5,101,400.0
8,55,1,001,300.0
8,56,5,101,550.0
8,57,1,001,425.0
8,58,5,101,550.0
8,59,5,101,575.0
8,60,5,101,600.0
8,61,5,101,600.0
8,62,5,101,600.0
8,63,5,101,600.0
8,64,5,101,600.0
8,65,5,101,450.0
8,66,5,101,600.0
8,67,5,101,450.0
8,68,5,101,450.0
8,69,5,101,600.0
8,70,5,101,750.0
8,71,5,101,600.0
8,72,5,101,750.0
8,73,5,101,501.0
8,74,5,101,600.0
8,75,5,101,450.0
8,76,5,101,600.0
8,77,5,101,499.0
8,78,5,101,400.0
8,79,0,000,216.0
8,80,4,100,266.0
8,81,5,101,449.0
8,82,5,101,501.0
8,83,5,101,750.0
8,84,5,101,600.0
8,85,5,101,250.0
8,86,0,000,162.0
8,87,4,100,209.0
8,88,4,100,206.0
8,89,4,100,210.0
8,90,1,001,281.0
8,91,1,001,278.0
8,92,5,101,574.0
8,93,0,000,258.0
8,94,1,001,275.0
8,95,0,000,400.0
8,96,7,111,300.0
8,97,5,101,575.0
8,98,5,101,600.0
8,99,5,101,600.0
9,0,5,101,600.0
9,1,5,101,600.0
9,2,5,101,575.0
9,3,5,101,600.0
9,4,5,101,600.0
9,5,5,101,450.0
9,6,5,101,750.0
9,7,5,101,600.0
9,8,5,101,750.0
9,9,5,101,450.0
9,10,5,101,600.0
9,11,5,101,750.0
9,12,5,101,450.0
9,13,5,101,501.0
9,14,5,101,476.0
9,15,4,100,218.0
9,16,1,001,353.0
9,17,1,001,278.0
9,18,5,101,449.0
9,19,0,000,208.0
9,20,1,001,300.0
9,21,5,101,474.0
9,22,5,101,575.0
9,23,5,101,600.0
9,24,5,101,600.0
9,25,5,101,750.0
9,26,5,101,600.0
9,27,5,101,499.0
9,28,5,101,600.0
9,29,5,101,600.0
9,30,5,101,501.0
9,31,5,101,351.0
9,32,4,100,224.0
9,33,5,101,501.0
9,34,5,101,501.0
9,35,5,101,750.0
9,36,5,101,600.0
9,37,5,101,600.0
9,38,7,111,600.0
9,39,5,101,600.0
9,40,5,101,501.0
9,41,5,101,651.0
9,42,4,100,224.0
9,43,5,101,501.0
9,44,5,101,476.0
9,45,5,101,550.0
9,46,1,001,350.0
9,47,1,001,275.0
9,48,1,001,325.0
9,49,0,000,254.0
9,50,0,000,158.0
9,51,5,101,548.0
9,52,5,101,499.0
9,53,5,101,450.0
9,54,5,101,425.0
9,55,1,001,300.0
9,56,5,101,550.0
9,57,1,001,353.0
9,58,5,101,476.0
9,59,4,100,221.0
9,60,5,101,501.0
9,61,5,101,501.0
9,62,5,101,600.0
9,63,5,101,600.0
9,64,5,101,600.0
9,65,5,101,450.0
9,66,5,101,600.0
9,67,5,101,450.0
9,68,5,101,450.0
9,69,5,101,600.0
9,70,5,101,750.0
9,71,5,101,600.0
9,72,5,101,750.0
9,73,5,101,600.0
9,74,5,101,600.0
9,75,5,101,450.0
9,76,5,101,600.0
9,77,5,101,600.0
9,78,5,101,600.0
9,79,5,101,600.0
9,80,5,101,750.0
9,81,5,101,750.0
9,82,5,101,600.0
9,83,5,101,750.0
9,84,5,101,600.0
9,85,5,101,351.0
9,86,5,101,252.0
9,87,4,100,216.0
9,88,4,100,216.0
9,89,4,100,213.0
9,90,5,101,377.0
9,91,1,001,353.0
9,92,5,101,599.0
9,93,0,000,258.0
9,94,1,001,275.0
9,95,0,000,204.0
9,96,5,101,349.0
9,97,5,101,600.0
9,98,5,101,600.0
9,99,5,101,600.0
10,0,5,101,600.0
10,1,5,101,600.0
10,2,5,101,600.0
10,3,5,101,600.0
10,4,5,101,600.0
10,5,5,101,450.0
10,6,5,101,750.0
10,7,5,101,600.0
10,8,5,101,750.0
10,9,5,101,450.0
10,10,5,101,600.0
10,11,5,101,750.0
10,12,5,101,450.0
10,13,5,101,600.0
10,14,5,101,600.0
10,15,5,101,600.0
10,16,5,101,600.0
10,17,5,101,600.0
10,18,5,101,600.0
10,19,5,101,600.0
10,20,5,101,450.0
10,21,5,101,600.0
10,22,5,101,600.0
10,23,5,101,600.0
10,24,5,101,600.0
10,25,5,101,750.0
10,26,5,101,600.0
10,27,5,101,575.0
10,28,5,101,600.0
10,29,5,101,600.0
10,30,5,101,600.0
10,31,5,101,450.0
10,32,5,101,501.0
10,33,5,101,501.0
10,34,4,100,224.0
10,35,5,101,651.0
10,36,5,101,501.0
10,37,5,101,600.0
10,38,5,101,600.0
10,39,5,101,600.0
10,40,5,101,600.0
10,41,5,101,750.0
10,42,5,101,600.0
10,43,5,101,600.0
10,44,5,101,600.0
10,45,5,101,600.0
10,46,5,101,600.0
10,47,5,101,575.0
10,48,5,101,725.0
10,49,1,001,550.0
10,50,5,101,425.0
10,51,5,101,626.0
10,52,5,101,600.0
10,53,5,101,450.0
10,54,5,101,450.0
10,55,5,101,450.0
10,56,5,101,600.0
10,57,5,101,600.0
10,58,5,101,600.0
10,59,5,101,600.0
10,60,5,101,600.0
